Date,Close,High,Low,Open,Volume
2019-01-02,37.61784744262695,37.83938301132466,36.73885839429097,36.896076715977145,148158800
2019-01-03,33.8708381652832,34.71171315877286,33.825578007512746,34.297229415515666,365248800
2019-01-04,35.31675338745117,35.38583581454372,34.25434664142994,34.42823764398357,234428400
2019-01-07,35.2381477355957,35.452537360060994,34.7545852369162,35.42156912174751,219111200
2019-01-08,35.90990447998047,36.16478912877367,35.37870094056626,35.62643599572281,164101200
2019-01-09,36.51971435546875,36.81032877594301,35.64310954502001,36.03853256561904,180396400
2019-01-10,36.63642883300781,36.67692379851318,35.93609601066579,36.32675738734217,143122800
2019-01-11,36.276737213134766,36.61261175890216,36.09093504627831,36.417282860183526,108092800
2019-01-14,35.73124694824219,36.03377252347302,35.54544475489296,35.93372546819039,129756800
2019-01-15,36.4625358581543,36.53876060240052,35.74314597896558,35.79555208084636,114843600
2019-01-16,36.907997131347656,37.13191353036799,36.44587241588364,36.46492951737159,122278800
2019-01-17,37.127140045166016,37.555915645850185,36.50779710698114,36.73171345593675,119284800
2019-01-18,37.3558235168457,37.60832370736827,37.15572580295646,37.51780339953194,135004000
2019-01-22,36.517337799072266,37.33439062814207,36.35535424422283,37.25816585244931,121576000
2019-01-23,36.66501998901367,36.95563439699075,36.13619728825342,36.71980687861818,92522400
2019-01-24,36.37440872192383,36.79841922890908,36.14573077657716,36.7102833160953,101766000
2019-01-25,37.579734802246094,37.667874332465686,36.76030141896033,37.0366202455851,134142000
2019-01-28,37.23195266723633,37.23909862442794,36.60308299098703,37.11046412543963,104768400
2019-01-29,36.8460578918457,37.66787943003454,36.71028105169072,37.22004666542963,166348800
2019-01-30,39.36392211914063,39.57830813819607,38.16811541887493,38.88750551255496,244439200
2019-01-31,39.64737319946289,40.257185606976,39.19954062248417,39.568764057667565,162958400
2019-02-01,39.66645050048828,40.25244093275384,39.52590482913389,39.77126274294762,130672400
2019-02-04,40.79316711425781,40.89083337940167,39.847479971250806,39.87844821014272,125982000
2019-02-05,41.49111557006836,41.7055051983024,41.05519762567575,41.17668253733617,144406400
2019-02-06,41.50541305541992,41.82223051192853,41.17430368331649,41.60307569024123,112958400
2019-02-07,40.71932220458984,41.43394701369877,40.57639578886016,41.06710424288514,126966800
2019-02-08,40.76716995239258,40.826977430058655,40.29110111604144,40.42746391729229,95280000
2019-02-11,40.53271484375,40.95854736775696,40.48965521961743,40.92026971273372,83973600
2019-02-12,40.88199234008789,40.90830777180337,40.59730821071804,40.693002348937135,89134000
2019-02-13,40.71213912963867,41.26236858240491,40.64994067511522,41.00160888990955,89960800
2019-02-14,40.860469818115234,40.97051353375331,40.52076378013357,40.599710089365466,87342800
2019-02-15,40.769569396972656,41.07578345413308,40.609285761612085,40.96813070206816,98507200
2019-02-19,40.89157104492188,41.013580648024224,40.547083004759976,40.59971388249842,75891200
2019-02-20,41.15472412109375,41.46333277165954,40.90592660274059,40.9537718581517,104457600
2019-02-21,40.92267990112305,41.23607059168015,40.74086642997994,41.09971140091277,68998800
2019-02-22,41.37959671020508,41.38677331528308,40.99922203963624,41.04706729027582,75652800
2019-02-25,41.68102264404297,42.07335951698332,41.61403856698182,41.66427844995689,87493600
2019-02-26,41.7049560546875,41.937009389498,41.42744844702722,41.55663465937493,68280800
2019-02-27,41.83413696289063,41.86523802210766,41.3221850553775,41.43701805078238,111341600
2019-02-28,41.422645568847656,41.84369242584483,41.36762372743832,41.70254769553677,112861600
2019-03-01,41.85805892944336,41.90111856239276,41.36046026332793,41.69298970241963,103544800
2019-03-04,42.06858444213867,42.52311984674224,41.6188310078529,42.03030677744222,109744800
2019-03-05,41.99203109741211,42.10446946129772,41.755192142563,42.09011624894793,78949600
2019-03-06,41.75040435791016,41.98245765954082,41.61165057391955,41.7862873837876,83241600
2019-03-07,41.26715850830078,41.7312651068863,41.15232917629115,41.59490230920846,99185600
